"Indicator","Value","SurveyYear"
"Population treating water by adding bleach/chlorine",1.3,2016
"Population treating water by straining through a cloth",0,2016
"Population treating water using a ceramic, sand or other filter",1.2,2016
"Population treating water using solar disinfection",0,2016
"Population treating water using other methods",0.8,2016
"Population not treating water",92.2,2016
"Population with missing information on treatment of water",0,2016
"Population using an appropriate treatment method",6.9,2016
"Number of persons",37205,2016
"Number of persons (unweighted)",37925,2016
