"dataset","variable","type","missing_pct","unique_n","sample_values","description"
"symptoms-of-acute-respiratory-infection-ari_national_zaf","characteristiclabel","character",0,2,", Total",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","byvariableid","character",0,3,"#indicator+label+code, 14000, 14001",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","byvariablelabel","character",0,3,"#indicator+label, Three years preceding the survey, Five years preceding the survey",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","istotal","integer",0.037,2,"1",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","ispreferred","integer",0.037,3,"0, 1",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","sdrid","character",0,8,", CHARISCARI, CHARISCNUM, CHARISCUNW, CHARISCADV",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","regionid","logical",1,1,"",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","surveyyearlabel","integer",0.037,3,"1998, 2016",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","surveytype","character",0,2,", DHS",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","denominatorweighted","integer",0.3333,9,"2912, 4740, 637, 913, 2025",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","denominatorunweighted","integer",0.3333,9,"2958, 4797, 607, 862, 2026",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","cilow","logical",1,1,"",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","cihigh","logical",1,1,"",""
"symptoms-of-acute-respiratory-infection-ari_national_zaf","levelrank","logical",1,1,"",""
"toilet-facilities_national_zaf","iso3","character",0,2,"#country+code, ZAF",""
"toilet-facilities_national_zaf","dataid","character",0,47,"#meta+id, 795762, 795768, 795760, 795764",""
"toilet-facilities_national_zaf","indicator","character",0,33,"#indicator+name, Households with an improved sanitation facility, Households with an unimproved sanitation facility, Households with a pit latrine without a slab or an open pit, Households with a bucket toilet",""
"toilet-facilities_national_zaf","value","character",0,38,"#indicator+value+num, 50.1, 38.3, 31.2, 6",""
"toilet-facilities_national_zaf","precision","character",0,3,"#indicator+precision, 1, 0",""
"toilet-facilities_national_zaf","dhs_countrycode","character",0,2,", ZA",""
"toilet-facilities_national_zaf","countryname","character",0,2,"#country+name, South Africa",""
"toilet-facilities_national_zaf","surveyyear","character",0,3,"#date+year, 1998, 2016",""
"toilet-facilities_national_zaf","surveyid","character",0,3,"#survey+id, ZA1998DHS, ZA2016DHS",""
"toilet-facilities_national_zaf","indicatorid","character",0,33,"#indicator+code, WS_TLET_H_IMP, WS_TLET_H_NIM, WS_TLET_H_NPT, WS_TLET_H_NBK",""
"toilet-facilities_national_zaf","indicatororder","integer",0.0213,33,"250261010, 250261150, 250261180, 250261190, 250261210",""
"toilet-facilities_national_zaf","indicatortype","character",0,6,", I, S, T, D",""
"toilet-facilities_national_zaf","characteristicid","integer",0.0213,2,"1000",""
"toilet-facilities_national_zaf","characteristicorder","integer",0.0213,2,"0",""
"toilet-facilities_national_zaf","characteristiccategory","character",0,2,", Total",""
"toilet-facilities_national_zaf","characteristiclabel","character",0,2,", Total",""
"toilet-facilities_national_zaf","byvariableid","character",0,2,"#indicator+label+code, 0",""
"toilet-facilities_national_zaf","byvariablelabel","character",0,2,"#indicator+label, ",""
"toilet-facilities_national_zaf","istotal","integer",0.0213,2,"1",""
"toilet-facilities_national_zaf","ispreferred","integer",0.0213,2,"1",""
"toilet-facilities_national_zaf","sdrid","character",0,33,", WSTLETHIMP, WSTLETHNIM, WSTLETHNPT, WSTLETHNBK",""
"toilet-facilities_national_zaf","regionid","logical",1,1,"",""
"toilet-facilities_national_zaf","surveyyearlabel","integer",0.0213,3,"1998, 2016",""
"toilet-facilities_national_zaf","surveytype","character",0,2,", DHS",""
"toilet-facilities_national_zaf","denominatorweighted","integer",0.1064,5,"12247, 52007, 11083, 37205",""
"toilet-facilities_national_zaf","denominatorunweighted","integer",0.1064,5,"12247, 52465, 11083, 37925",""
"toilet-facilities_national_zaf","cilow","logical",1,1,"",""
"toilet-facilities_national_zaf","cihigh","logical",1,1,"",""
"toilet-facilities_national_zaf","levelrank","logical",1,1,"",""
"water_national_zaf","iso3","character",0,2,"#country+code, ZAF",""
"water_national_zaf","dataid","character",0,101,"#meta+id, 795195, 795196, 795198, 795199",""
"water_national_zaf","indicator","character",0,63,"#indicator+name, Households using an improved water source, Households using water piped into dwelling, Households using a public tap/standpipe, Households using a tubewell/borehole",""
"water_national_zaf","value","character",0,68,"#indicator+value+num, 86.3, 38.9, 19.5, 3",""
"water_national_zaf","precision","character",0,3,"#indicator+precision, 1, 0",""
"water_national_zaf","dhs_countrycode","character",0,2,", ZA",""
"water_national_zaf","countryname","character",0,2,"#country+name, South Africa",""
"water_national_zaf","surveyyear","character",0,3,"#date+year, 1998, 2016",""
"water_national_zaf","surveyid","character",0,3,"#survey+id, ZA1998DHS, ZA2016DHS",""
"water_national_zaf","indicatorid","character",0,65,"#indicator+code, WS_SRCE_H_IMP, WS_SRCE_H_PIP, WS_SRCE_H_TAP, WS_SRCE_H_TUB",""
"water_national_zaf","indicatororder","integer",0.0099,65,"250161010, 250161020, 250161030, 250161040, 250161070",""
"water_national_zaf","indicatortype","character",0,6,", I, S, T, D",""
"water_national_zaf","characteristicid","integer",0.0099,2,"1000",""
"water_national_zaf","characteristicorder","integer",0.0099,2,"0",""
"water_national_zaf","characteristiccategory","character",0,2,", Total",""
"water_national_zaf","characteristiclabel","character",0,2,", Total",""
"water_national_zaf","byvariableid","character",0,2,"#indicator+label+code, 0",""
"water_national_zaf","byvariablelabel","character",0,2,"#indicator+label, ",""
"water_national_zaf","istotal","integer",0.0099,2,"1",""
"water_national_zaf","ispreferred","integer",0.0099,2,"1",""
"water_national_zaf","sdrid","character",0,65,", WSSRCEHIMP, WSSRCEHPIP, WSSRCEHTAP, WSSRCEHTUB",""
"water_national_zaf","regionid","logical",1,1,"",""
"water_national_zaf","surveyyearlabel","integer",0.0099,3,"1998, 2016",""
"water_national_zaf","surveytype","character",0,2,", DHS",""
"water_national_zaf","denominatorweighted","integer",0.0495,5,"12247, 52007, 11083, 37205",""
"water_national_zaf","denominatorunweighted","integer",0.0495,5,"12247, 52465, 11083, 37925",""
"water_national_zaf","cilow","logical",1,1,"",""
"water_national_zaf","cihigh","logical",1,1,"",""
"water_national_zaf","levelrank","logical",1,1,"",""
